"Team","W","pWAR","hWAR","fWAR","year"
"Cardinals",90,12,29.6,41.6,2011
"Cubs",71,11,14.3,25.3,2011
"Diamondbacks",94,11.8,30.5,42.3,2011
"Dodgers",82,20,19.6,39.6,2011
"Giants",86,17.3,18.1,35.4,2011
"Indians",80,17.7,9.3,27,2011
"Mariners",67,17.4,3.9,21.3,2011
"Marlins",72,15.3,13.7,29,2011
"Mets",77,11.9,17.2,29.1,2011
"Nationals",80,11.6,16.6,28.2,2011
"Orioles",69,4.9,12.3,17.2,2011
"Padres",71,15.1,15,30.1,2011
"Phillies",102,29.5,19,48.5,2011
"Pirates",72,8.5,6.7,15.2,2011
"Rangers",96,19.2,33.9,53.1,2011
"Rays",91,16.8,27.7,44.5,2011
"Red Sox",90,14.3,36.3,50.6,2011
"Reds",79,6.2,29.4,35.6,2011
"Rockies",73,13.6,11.7,25.3,2011
"Royals",71,10.7,19.8,30.5,2011
"Tigers",95,16.7,23.1,39.8,2011
"Twins",63,7.7,4.3,12,2011
"White Sox",79,23.2,11.7,34.9,2011
"Yankees",97,17.3,37,54.3,2011
"Angels",89,10.4,33.8,44.2,2012
"Astros",55,9.3,5.8,15.1,2012
"Athletics",94,19.5,19.4,38.9,2012
"Blue Jays",73,6.9,14.3,21.2,2012
"Braves",94,11.4,27.3,38.7,2012
"Brewers",83,14.3,28.3,42.6,2012
"Cardinals",88,16.2,28.5,44.7,2012
"Cubs",61,4.4,11.3,15.7,2012
"Diamondbacks",81,15.3,21.8,37.1,2012
"Dodgers",86,20.8,13.8,34.6,2012
"Giants",94,10.9,29,39.9,2012
"Indians",68,12.6,8.2,20.8,2012
"Mariners",75,17.6,8.9,26.5,2012
"Marlins",69,13.5,10.6,24.1,2012
"Mets",74,14.3,15.9,30.2,2012
"Nationals",98,19.5,23.7,43.2,2012
"Orioles",93,16,14.6,30.6,2012
"Padres",76,7.8,21.6,29.4,2012
"Phillies",81,19.8,21.5,41.3,2012
"Pirates",79,13.7,10.2,23.9,2012
"Rangers",93,22.2,23.3,45.5,2012
"Rays",90,20.4,23.7,44.1,2012
"Red Sox",69,6.4,20.1,26.5,2012
"Reds",97,18.7,23.9,42.6,2012
"Rockies",64,9.2,10.3,19.5,2012
"Royals",72,15.1,12.7,27.8,2012
"Tigers",88,24.5,20.5,45,2012
"Twins",66,5.9,12.6,18.5,2012
"White Sox",85,16.2,20.7,36.9,2012
"Yankees",95,17,33.6,50.6,2012
"Angels",78,10.1,21.6,31.7,2013
"Astros",51,2.2,1.9,4.1,2013
"Athletics",96,16.6,25.4,42,2013
"Blue Jays",74,9.5,17,26.5,2013
"Braves",96,17.9,25.6,43.5,2013
"Brewers",74,5.3,22.6,27.9,2013
"Cardinals",97,17.3,26.1,43.4,2013
"Cubs",66,11.3,14.1,25.4,2013
"Diamondbacks",81,8.5,19.4,27.9,2013
"Dodgers",92,20.6,25.5,46.1,2013
"Giants",76,7.1,26.9,34,2013
"Indians",92,16.8,22.6,39.4,2013
"Mariners",71,15.7,10,25.7,2013
"Marlins",62,14.6,3.3,17.9,2013
"Mets",74,18.1,16.5,34.6,2013
"Nationals",86,17.3,17.6,34.9,2013
"Orioles",85,11.1,25.7,36.8,2013
"Padres",76,8.4,18.6,27,2013
"Phillies",73,13.7,8.9,22.6,2013
"Pirates",94,16.8,22.8,39.6,2013
"Rangers",91,21.2,19.7,40.9,2013
"Rays",92,14.5,28.2,42.7,2013
"Red Sox",97,15.8,36.2,52,2013
"Reds",90,18,22.5,40.5,2013
"Rockies",74,16.4,13.7,30.1,2013
"Royals",86,17.5,19.4,36.9,2013
"Tigers",93,26.3,27.6,53.9,2013
"Twins",66,11.5,10.8,22.3,2013
"White Sox",63,15.3,5.5,20.8,2013
"Yankees",85,14.8,14.6,29.4,2013
"Angels",98,14.5,30.4,44.9,2014
"Astros",70,9.9,13.7,23.6,2014
"Athletics",88,17.4,21.2,38.6,2014
"Blue Jays",83,14.2,22.2,36.4,2014
"Braves",79,18.6,12.8,31.4,2014
"Brewers",82,10.9,20.8,31.7,2014
"Cardinals",90,15.9,18.1,34,2014
"Cubs",73,20.5,15.4,35.9,2014
"Diamondbacks",64,8.2,13,21.2,2014
"Dodgers",94,19.5,31.8,51.3,2014
"Giants",88,9.4,25.4,34.8,2014
"Indians",85,20.3,14.1,34.4,2014
"Mariners",87,13.6,16.4,30,2014
"Marlins",77,16.7,16.6,33.3,2014
"Mets",79,12.7,17.8,30.5,2014
"Nationals",96,24.3,26.2,50.5,2014
"Orioles",96,12.9,27.4,40.3,2014
"Padres",77,12.2,11.7,23.9,2014
"Phillies",73,16.6,11.6,28.2,2014
"Pirates",88,8.2,31.4,39.6,2014
"Rangers",67,9.3,11.6,20.9,2014
"Rays",77,14.1,20.3,34.4,2014
"Red Sox",71,10.6,17.3,27.9,2014
"Reds",76,12.8,14.7,27.5,2014
"Rockies",66,7.2,17,24.2,2014
"Royals",89,17.2,18.8,36,2014
"Tigers",90,19.7,24.8,44.5,2014
"Twins",70,14.3,16.2,30.5,2014
"White Sox",73,10.7,13.3,24,2014
"Yankees",84,17.5,18.1,35.6,2014
"Angels",85,12.2,17.1,29.3,2015
"Astros",86,18.9,26.1,45,2015
"Athletics",68,13,11.3,24.3,2015
"Blue Jays",93,13.7,36.7,50.4,2015
"Braves",67,7,9.9,16.9,2015
"Brewers",68,9.9,12.6,22.5,2015
"Cardinals",100,20.6,23.6,44.2,2015
"Cubs",97,22.9,25.4,48.3,2015
"Diamondbacks",79,10.6,21.6,32.2,2015
"Dodgers",92,19.7,29,48.7,2015
"Giants",84,8.8,29.5,38.3,2015
"Indians",81,21.1,19.1,40.2,2015
"Mariners",76,9.1,17.4,26.5,2015
"Marlins",71,12.2,15.3,27.5,2015
"Mets",90,19,24.6,43.6,2015
"Nationals",83,22.2,17.9,40.1,2015
"Orioles",81,15.8,17.7,33.5,2015
"Padres",74,9.7,16.4,26.1,2015
"Phillies",63,10.3,8.8,19.1,2015
"Pirates",98,19.5,24,43.5,2015
"Rangers",88,11,21.6,32.6,2015
"Rays",80,14.7,19.6,34.3,2015
"Red Sox",78,11.8,17.9,29.7,2015
"Reds",64,10.8,16.5,27.3,2015
"Rockies",68,8.3,9.7,18,2015
"Royals",95,13.8,21.8,35.6,2015
"Tigers",74,11.7,17.1,28.8,2015
"Twins",83,16,12.1,28.1,2015
"White Sox",76,17.4,8.8,26.2,2015
"Yankees",87,18.4,20.7,39.1,2015
"Angels",74,8,19.2,27.2,2016
"Astros",84,17.6,23.7,41.3,2016
"Athletics",69,13.7,3,16.7,2016
"Blue Jays",89,16.8,25.1,41.9,2016
"Braves",68,9,9.8,18.8,2016
"Brewers",73,11.1,12.7,23.8,2016
"Cardinals",86,16.6,22,38.6,2016
"Cubs",103,18.8,37.1,55.9,2016
"Diamondbacks",69,10.1,15.6,25.7,2016
"Dodgers",91,20,25.5,45.5,2016
"Giants",87,14.2,25.9,40.1,2016
"Indians",94,18.2,24.9,43.1,2016
"Mariners",86,14.5,21.3,35.8,2016
"Marlins",79,15.5,21.3,36.8,2016
"Mets",87,21.5,23.4,44.9,2016
"Nationals",95,23.5,22.2,45.7,2016
"Orioles",89,15.7,20.7,36.4,2016
"Padres",68,8.6,11.1,19.7,2016
"Phillies",71,13.9,9.4,23.3,2016
"Pirates",78,9,18.8,27.8,2016
"Rangers",95,12.6,16.2,28.8,2016
"Rays",68,10.6,19.1,29.7,2016
"Red Sox",93,18.8,35.2,54,2016
"Reds",68,1,12.1,13.1,2016
"Rockies",75,13.1,18.5,31.6,2016
"Royals",81,12.1,11.8,23.9,2016
"Tigers",86,18.5,21.1,39.6,2016
"Twins",59,10.7,12.4,23.1,2016
"White Sox",78,17.1,15,32.1,2016
"Yankees",84,18.7,15.5,34.2,2016
"Angels",80,11,18.8,29.8,2017
"Astros",101,19,33.7,52.7,2017
"Athletics",75,9.6,17.5,27.1,2017
"Blue Jays",76,16.6,10.7,27.3,2017
"Braves",72,8.9,15.9,24.8,2017
"Brewers",86,17.1,17.3,34.4,2017
"Cardinals",83,15.7,26.3,42,2017
"Cubs",92,16.8,26.7,43.5,2017
"Diamondbacks",93,22.9,19.7,42.6,2017
"Dodgers",104,21.7,33.3,55,2017
"Giants",64,11.4,10.5,21.9,2017
"Indians",102,30.4,26.7,57.1,2017
"Mariners",78,9.3,21.6,30.9,2017
"Marlins",77,5.5,27.9,33.4,2017
"Mets",70,8.7,22.6,31.3,2017
"Nationals",97,23,24.4,47.4,2017
"Orioles",75,8.6,11.3,19.9,2017
"Padres",71,7.9,7,14.9,2017
"Phillies",66,14.3,10.4,24.7,2017
"Pirates",75,16.6,10,26.6,2017
"Rangers",78,11.2,10.1,21.3,2017
"Rays",80,15,21.7,36.7,2017
"Red Sox",93,23.2,18.2,41.4,2017
"Reds",68,5.3,19.4,24.7,2017
"Rockies",87,18.6,13.7,32.3,2017
"Royals",80,13.7,11.1,24.8,2017
"Tigers",64,11.5,14.2,25.7,2017
"Twins",85,8.9,26,34.9,2017
"White Sox",67,4.4,14.1,18.5,2017
"Yankees",91,23.4,29.2,52.6,2017
"Angels",80,11.3,24.4,35.7,2018
"Astros",103,29.1,25.9,55,2018
"Athletics",97,13.6,31.7,45.3,2018
"Blue Jays",73,8.8,13.2,22,2018
"Braves",90,14.9,26,40.9,2018
"Brewers",96,15.2,27.5,42.7,2018
"Cardinals",88,14.1,25.8,39.9,2018
"Cubs",95,15.1,25.1,40.2,2018
"Diamondbacks",82,12.9,20.3,33.2,2018
"Dodgers",92,18.6,34.8,53.4,2018
"Giants",73,13.1,7,20.1,2018
"Indians",91,22.1,27.9,50,2018
"Mariners",89,16,18.2,34.2,2018
"Marlins",63,2.7,9.9,12.6,2018
"Mets",77,17.7,15,32.7,2018
"Nationals",82,16.7,23.8,40.5,2018
"Orioles",47,7.3,0.8,8.1,2018
"Padres",66,12.4,8,20.4,2018
"Phillies",80,19.2,12.2,31.4,2018
"Pirates",82,15.1,17.7,32.8,2018
"Rangers",67,10.8,11.4,22.2,2018
"Rays",90,17.5,23.4,40.9,2018
"Red Sox",108,18.3,32.1,50.4,2018
"Reds",67,8.1,16.6,24.7,2018
"Rockies",91,17.3,16.4,33.7,2018
"Royals",58,6.4,11.8,18.2,2018
"Tigers",64,9.6,6.7,16.3,2018
"Twins",78,11.9,16,27.9,2018
"White Sox",62,9.9,8.8,18.7,2018
"Yankees",100,24.2,31.7,55.9,2018
"Angels",72,5.8,20.3,26.1,2019
"Astros",107,23.7,40.8,64.5,2019
"Athletics",97,18.7,28.5,47.2,2019
"Blue Jays",67,9.1,11.5,20.6,2019
"Braves",97,12.3,26.9,39.2,2019
"Brewers",89,12.9,24.2,37.1,2019
"Cardinals",91,15.5,22.4,37.9,2019
"Cubs",84,17,24.9,41.9,2019
"Diamondbacks",85,13.9,23.4,37.3,2019
"Dodgers",106,24.1,34.8,58.9,2019
"Giants",77,7.6,10,17.6,2019
"Indians",93,21.9,19.7,41.6,2019
"Mariners",68,5.8,16.4,22.2,2019
"Marlins",57,6,2.6,8.6,2019
"Mets",86,20.4,23.5,43.9,2019
"Nationals",93,22.3,26,48.3,2019
"Orioles",54,5.5,6.4,11.9,2019
"Padres",70,15.5,13.4,28.9,2019
"Phillies",81,8.4,20.8,29.2,2019
"Pirates",69,8.8,10.8,19.6,2019
"Rangers",78,14.2,9.2,23.4,2019
"Rays",96,25.3,23,48.3,2019
"Red Sox",84,16.5,27.5,44,2019
"Reds",75,18.6,11.1,29.7,2019
"Rockies",71,6.7,10.1,16.8,2019
"Royals",59,7.7,9.3,17,2019
"Tigers",47,11.2,-2.6,8.6,2019
"Twins",101,23.9,31,54.9,2019
"White Sox",72,12.3,11,23.3,2019
"Yankees",103,18.1,32.7,50.8,2019
