"","lgID","yearID","playerID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"8143","NL",1964,"flavijo01",14,-0.52,22188000,-3.64,17343.0714614881
"8144","NL",1917,"crumca01",3,0.05,8816000,0.35,17330.2805547474
"8145","AL",1936,"archefr01",110,-0.01,10646000,-0.07,17325.7397188034
"8146","NL",1954,"greasbi01",12,-0.43,15386000,-3.01,17324.8365460198
"8147","NL",1903,"winhala01",108,0.07,6471000,0.49,17309.3154623784
"8148","AL",1949,"bradlfr01",6,-0.16,12444000,-1.12,17308.0376172778
"8149","AL",1922,"bedgoph01",27,0.11,9128000,0.77,17304.7034905016
"8150","NL",1896,"hallmbi01",6,-0.16,5352000,-1.12,17299.6600205793
"8151","NL",1918,"rossge01",7,0.13,8854000,0.91,17298.0060950852
"8152","NL",1897,"peitzhe01",24,-0.11,5409000,-0.77,17297.8323479451
"8153","NL",1913,"smithch03",53,0.2,8664000,1.4,17294.3987277844
"8154","NL",1920,"glennbo01",6,0.12,8930000,0.84,17289.6121854889
"8155","NL",1884,"begleed01",798,-1.45,4644000,-10.15,17289.2928934063
"8156","AL",1927,"vanalcl01",9,0.08,9623000,0.56,17273.1757025645
"8157","NL",1906,"essicbi01",118,0.18,7362000,1.26,17272.1590396958
"8158","NL",1910,"pickech01",18,0.15,8550000,1.05,17265.5681999876
"8159","AL",1902,"walkeed01",24,0.08,6174000,0.56,17265.3083210902
"8160","AL",1937,"willial02",226,0.05,10767000,0.35,17265.229376319
"8161","NL",1900,"connbe01",52,-1.02,5580000,-7.14,17261.8652191743
"8162","NL",1898,"phylebi01",69,-0.02,5466000,-0.14,17255.7795787301
"8163","AL",1930,"hendebi01",24,-0.01,9920000,-0.07,17227.2853422683
"8164","AL",1914,"taylowi01",150,0.09,8702000,0.63,17226.3826214741
"8165","AL",1933,"mclauju01",26,-0.01,10283000,-0.07,17219.8110419671
"8166","AL",1927,"smithru01",24,0.08,9623000,0.56,17207.6383952412
"8167","AL",1940,"newlima01",18,0.01,11130000,0.07,17192.5109225168
"8168","AL",1965,"fosnoje01",140,-1.01,22840000,-7.07,17187.8373646471
"8169","AL",1928,"daneyar01",3,0.04,9722000,0.28,17173.6453696047
