"","lgID","yearID","playerID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"5845","NL",1986,"winnji01",264,0.09,38956000,0.63,31081.7674819232
"5846","NL",1957,"swansre01",218,0.54,17483000,3.78,31074.6877561301
"5847","NL",2018,"reyesjo01",3,-0.17,93638000,-1.19,31071.6858606955
"5848","AL",2003,"gilfija01",49,-0.17,67699000,-1.19,31065.5139229741
"5849","AL",1971,"gebhabo01",54,0.38,27127000,2.66,31050.0526039792
"5850","NL",1944,"schmifr01",343,0.89,11714000,6.23,31011.1374395908
"5851","AL",2002,"jimenja01",22,-0.12,66486000,-0.84,31005.7247554557
"5852","AL",1979,"ferribo01",18,0.13,35343000,0.91,30999.3609067448
"5853","NL",1888,"shochge01",9,0.21,4888000,1.47,30997.1330657624
"5854","NL",1964,"burdefr01",60,0.46,22188000,3.22,30990.8911787826
"5855","AL",1997,"haughga01",34,-0.1,57046000,-0.7,30989.6409010767
"5856","AL",2014,"thompta01",16,-0.23,84914000,-1.61,30989.2532402521
"5857","AL",1988,"krawcra01",73,0.11,39818000,0.77,30981.5888003888
"5858","NL",2011,"hamreer01",37,-0.13,78371000,-0.91,30970.2522096096
"5859","NL",1983,"deckema01",26,0.18,37663000,1.26,30969.2204207472
"5860","NL",1880,"nichotr01",53,-0.37,4400000,-2.59,30944.9278090968
"5861","AL",1923,"edwarji01",538,1.55,9227000,10.85,30919.1737561077
"5862","AL",1982,"littlje01",109,0.03,37232000,0.21,30916.4972571645
"5863","AL",1936,"henryji01",230,1.29,10646000,9.03,30903.4281816667
"5864","AL",1955,"santijo01",99,0.87,16085000,6.09,30883.7663924375
"5865","AL",1914,"mchalma01",573,1.48,8702000,10.36,30876.0280420123
"5866","NL",2015,"burgoen02",81,-0.16,87095000,-1.12,30860.9696230967
"5867","NL",2003,"blandna01",61,-0.17,67699000,-1.19,30857.3044550119
"5868","AL",2011,"tuckery01",15,-0.14,78371000,-0.98,30856.6489959786
"5869","NL",2009,"davidda01",3,-0.16,74977000,-1.12,30853.9490677799
"5870","NL",1980,"burnssh01",14,0.18,36370000,1.26,30853.3982167548
"5871","AL",1982,"tuftsbo01",60,0.03,37232000,0.21,30845.1263747165
"5872","NL",2018,"conlopj01",23,-0.18,93638000,-1.26,30841.2262952914
"5873","NL",2014,"roachdo01",91,-0.24,84914000,-1.68,30837.3195836043
"5874","AL",1991,"dempsri01",6,0.02,43018000,0.14,30836.2871502892
"5875","AL",1925,"speecby01",272,1.39,9425000,9.73,30828.4255708413
"5876","NL",2002,"bongju01",18,-0.13,66486000,-0.91,30824.6538715281
"5877","NL",2000,"maireos01",6,-0.11,64060000,-0.77,30823.2488293617
"5878","NL",2001,"lundqda01",59,-0.08,65273000,-0.56,30820.7732193624
"5879","AL",2019,"smithjo08",38,-0.12,95819000,-0.84,30819.7077654395
"5880","NL",2008,"swindrj01",14,-0.18,73764000,-1.26,30816.1887760944
"5881","NL",2015,"rearich01",9,-0.16,87095000,-1.12,30812.8400862977
"5882","NL",1883,"hilsech01",78,-0.19,4583000,-1.33,30807.4715974623
"5883","NL",1990,"yorkmi01",38,0.16,40680000,1.12,30806.01677296
"5884","NL",2007,"rogerbr01",6,-0.13,72551000,-0.91,30804.6930732654
"5885","NL",1998,"hendero01",11,-0.09,59384000,-0.63,30803.1645572166
"5886","AL",2011,"judyjo01",42,-0.15,78371000,-1.05,30802.7793646625
"5887","AL",2006,"braunry01",32,-0.12,71338000,-0.84,30802.7155869136
"5888","AL",1995,"benneer01",1,0.01,52370000,0.07,30800.7459535957
"5889","AL",1966,"klagefr01",47,0.32,23492000,2.24,30797.5593341373
"5890","NL",2012,"cletoma01",27,-0.22,80552000,-1.54,30796.371390213
"5891","AL",2016,"morimsh01",14,-0.22,89276000,-1.54,30795.3753489383
"5892","AL",1993,"maldoca02",112,0.08,47694000,0.56,30794.4143557597
"5893","NL",1999,"estraho01",22,-0.08,61722000,-0.56,30788.8569906725
"5894","NL",1954,"greenbo01",110,0.62,15386000,4.34,30787.5056661939
"5895","AL",1991,"lawva01",2,0.02,43018000,0.14,30784.3674406837
"5896","NL",2017,"blairaa01",9,-0.21,91457000,-1.47,30778.423806486
"5897","NL",1987,"wilsogl01",3,0.03,39387000,0.21,30774.7483641344
"5898","AL",2019,"pintori01",7,-0.13,95819000,-0.91,30770.8923086939
"5899","NL",2008,"kunzed01",8,-0.18,73764000,-1.26,30765.993379384
"5900","NL",1978,"riccefr01",9,0.11,34316000,0.77,30764.5850736194
"5901","AL",2006,"andrast01",14,-0.12,71338000,-0.84,30751.5976606036
"5902","NL",1909,"rowanja01",677,1.79,8253000,12.53,30743.7198421929
"5903","NL",1994,"moorema01",101,-0.11,50032000,-0.77,30732.8916217386
"5904","AL",1991,"espinal01",2,0.02,43018000,0.14,30732.687550446
"5905","NL",1929,"henrydu01",349,1.33,9821000,9.31,30732.5007632576
"5906","AL",2019,"fordmi01",6,-0.13,95819000,-0.91,30730.7473723992
"5907","AL",2014,"riefecj01",16,-0.26,84914000,-1.82,30725.8936048357
"5908","NL",2008,"walrole01",31,-0.18,73764000,-1.26,30716.0329888085
"5909","NL",1987,"wallati01",3,0.03,39387000,0.21,30715.6512005448
"5910","NL",1997,"blaziro01",161,-0.11,57046000,-0.77,30708.9496211504
"5911","AL",2011,"magnutr01",44,-0.15,78371000,-1.05,30694.5512360457
"5912","NL",1974,"minshji01",13,0.12,30208000,0.84,30692.7556323032
"5913","NL",1988,"smithmi04",26,0.09,39818000,0.63,30684.0637412195
"5914","AL",1991,"eglofbr01",17,0.02,43018000,0.14,30681.2455098294
"5915","AL",1990,"wardco02",108,0.15,40680000,1.05,30672.7813358245
"5916","AL",1994,"merribr01",51,-0.12,50032000,-0.84,30666.7569843944
"5917","NL",2013,"mayayu01",1,-0.28,82733000,-1.96,30660.5363001291
