"","playerID","yearID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"6960","vargaan01",1951,9,0.07,3543733.33333333,0.49,6731.96967519873
"6961","pattoda01",2009,83,-0.41,15145354,-2.87,6731.27965746205
"6962","brownel01",1912,361,1.6,1380160,11.2,6730.44527492982
"6963","palumjo01",2019,50,-0.19,17439058,-1.33,6725.3503306346
"6964","bednada01",2019,33,-0.2,17439058,-1.4,6717.78235166369
"6965","colonjo01",2016,30,-0.33,16783888,-2.31,6716.40446032472
"6966","maclebi01",1962,5,-0.02,5388072,-0.14,6715.47202529871
"6967","johnsma03",2000,72,-0.46,14093200,-3.22,6713.07951888366
"6968","everile01",1969,47,-0.38,8448736,-2.66,6712.93000384196
"6969","hennege01",1942,51,0.52,2692328.57142857,3.64,6711.01695943301
"6970","batesdi01",1969,5,-0.16,7278128,-1.12,6710.81453082805
"6971","pageph01",1928,66,0.51,2177728,3.57,6710.57787072771
"6972","castile01",2012,48,-0.43,15788192,-3.01,6710.30888187545
"6973","simondo01",1992,16,-0.78,11066864,-5.46,6708.89736000046
"6974","budnimi01",1946,265,0.82,2486957.14285714,5.74,6704.60218658954
"6975","delacjo01",2016,188,-0.33,16783888,-2.31,6702.95223090777
"6976","youngja01",2004,25,-0.44,14609344,-3.08,6702.00440134087
"6977","mchalma01",1914,573,1.48,1479340,10.36,6699.61238282936
"6978","martico02",2019,58,-0.21,17439058,-1.47,6699.58732067922
"6979","diazfe01",2004,148,-0.45,14609344,-3.15,6699.41289745001
"6980","barthji01",2008,31,-0.51,15047856,-3.57,6699.13088865104
"6981","hoovedi01",1952,14,-0.05,3963266.66666667,-0.35,6698.29687303966
"6982","sosahe01",2011,160,-0.35,15517458,-2.45,6697.17418043183
"6983","fontejo01",1998,128,-0.63,13420784,-4.41,6696.65548028734
"6984","gentrru01",1944,611,0.28,2593814.28571429,1.96,6695.81785311665
"6985","lambege01",1941,27,0.41,2738457.14285714,2.87,6692.24847210095
"6986","suklaed01",1964,8,-0.07,5902008,-0.49,6691.12767233278
"6987","endertr01",2000,28,-0.47,14093200,-3.29,6690.70208952813
"6988","johnsfr01",1938,207,0.42,2678448,2.94,6690.15146897264
"6989","piercje01",1995,45,-0.35,12306950,-2.45,6690.10128873772
"6990","rogerjo01",2019,43,-0.21,17439058,-1.47,6689.70769228655
"6991","davieje01",1959,110,-0.14,4720250,-0.98,6689.67602925579
"6992","jenkity01",2016,156,-0.33,16783888,-2.31,6689.58292270544
"6993","machaan02",2017,11,-0.3,17011002,-2.1,6686.65479257486
"6994","lockech01",1955,9,0.1,3931888.88888889,0.7,6685.88787976983
"6995","nolddi01",1967,61,-0.28,6712032,-1.96,6680.78022900768
"6996","hartucl01",1947,414,0.73,2430400,5.11,6675.8257841728
"6997","monahri01",1953,32,0.18,3426966.66666667,1.26,6675.09934231427
"6998","gearidi01",1924,87,0.81,1977112,5.67,6675.07021455695
"6999","wickeke01",1941,96,0.41,2738457.14285714,2.87,6672.99094634836
"7000","zahnipa01",1925,530,0.79,2026375,5.53,6672.0521223187
"7001","mollsa01",2017,20,-0.31,17011002,-2.17,6671.99610446876
"7002","werlege01",1956,3,-0.02,4196000,-0.14,6670.71097156305
"7003","behanpe01",1922,142,0.94,1880368,6.58,6670.27442788323
"7004","milchmi01",1996,98,-0.59,12692256,-4.13,6670.25581217719
"7005","villael01",2011,9,-0.36,15517458,-2.52,6665.95399332132
"7006","arntzor01",1943,493,0.33,2644114.28571429,2.31,6665.87826395813
"7007","andermi02",1993,16,-0.39,11494254,-2.73,6663.39307758069
"7008","vasquvi01",2009,134,-0.45,15145354,-3.15,6660.323640971
"7009","faszhja01",1953,35,-0.11,4406100,-0.77,6657.53338735362
"7010","gerarda01",1962,176,-0.54,7225864,-3.78,6656.72437885364
"7011","garrere01",2019,46,-0.22,17439058,-1.54,6653.5498605449
"7012","knudsgu01",2015,15,-0.34,16548050,-2.38,6653.51481820543
"7013","rozekdi01",1953,32,0.18,3426966.66666667,1.26,6650.44854299035
"7014","wernean01",2012,121,-0.48,15788192,-3.36,6650.43542080867
"7015","radloro01",1999,26,-0.47,13764006,-3.29,6649.30513644182
"7016","sewared01",1885,18,0.42,588125,2.94,6648.95953321783
"7017","pettipa01",1951,8,0.06,3543733.33333333,0.42,6642.31805903352
"7018","lambjo02",2015,149,-0.34,16548050,-2.38,6639.78908679819
"7019","mccrobo01",2008,19,-0.54,15047856,-3.78,6636.86788887028
"7020","thorple01",2019,83,-0.22,17439058,-1.54,6633.74964591414
"7021","augenbr01",2009,51,-0.46,15145354,-3.22,6632.41500379917
"7022","martilu01",2003,49,-0.55,14487586,-3.85,6631.21052703167
"7023","arnolja01",2000,118,-0.52,14093200,-3.64,6630.52663828291
"7024","bautige01",2018,13,-0.29,17229392,-2.03,6630.47108620004
"7025","cookgl01",1985,120,-1.22,10594375,-8.54,6630.01123453331
"7026","welchmi03",1998,62,-0.63,13420784,-4.41,6626.78681209709
"7027","stuarjo01",1923,450,1.13,1928443,7.91,6625.48824251642
"7028","darkal01",1953,3,-0.12,4406100,-0.84,6621.9670626756
"7029","fanovfr01",1953,185,0.17,3426966.66666667,1.19,6619.03690021835
"7030","sucheji01",1952,30,-0.06,3963266.66666667,-0.42,6618.85191584944
"7031","daviege01",1892,647,2.72,676368,19.04,6611.74122903271
"7032","proctji01",1959,8,-0.18,4720250,-1.26,6611.60593604133
"7033","zinnji01",1921,382,1.02,1832887,7.14,6607.91399116328
"7034","nogosst01",2019,20,-0.23,17439058,-1.61,6607.7955744107
"7035","encarlu01",1990,31,-0.26,10170000,-1.82,6607.41442765799
"7036","wagnema02",1996,240,-0.63,12692256,-4.41,6606.95293920751
"7037","pottsmi01",1996,136,-0.64,12692256,-4.48,6604.57949679436
"7038","hayesdr01",2016,29,-0.39,16783888,-2.73,6603.74957312445
"7039","chadwra01",1986,82,-0.88,10518120,-6.16,6602.55304298298
"7040","sborzjo01",2019,27,-0.23,17439058,-1.61,6597.8291686995
"7041","kirkbi01",1961,9,-0.16,5138928,-1.12,6594.69049929455
"7042","gissech01",2004,26,-0.5,14609344,-3.5,6593.34886805447
"7043","soleral01",2006,135,-0.45,14838304,-3.15,6591.28049976907
"7044","avreaja01",1950,16,0.12,3147500,0.84,6590.79255075869
"7045","hilchwh01",1935,58,0.45,2526000,3.15,6589.78058754172
"7046","schalar01",1951,139,0.45,2953111.11111111,3.15,6588.66856847034
"7047","atilalu01",2010,257,-0.58,15238000,-4.06,6587.89078910831
"7048","grottma01",1995,5,-0.4,12306950,-2.8,6585.80644391197
"7049","turbege01",1937,233,0.53,2627148,3.71,6585.42341477264
"7050","whitnar01",1882,54,-0.26,551684,-1.82,6583.64635319539
"7051","booneda01",1922,226,0.91,1880368,6.37,6581.88534098597
"7052","dobenra01",1929,85,0.68,2229367,4.76,6581.56095804152
"7053","kellyry01",2015,50,-0.36,16548050,-2.52,6578.40560086094
"7054","mannida01",2003,20,-0.56,14487586,-3.92,6577.36206882896
"7055","blyzkmi01",1954,259,0.04,3675544.44444444,0.28,6576.47318106675
"7056","wallale01",1942,148,0.48,2692328.57142857,3.36,6574.38796130001
"7057","streled01",1928,151,0.49,2177728,3.43,6568.98817205903
"7058","hoeyja02",2006,29,-0.49,14838304,-3.43,6563.3315443249
"7059","willido02",1963,13,-0.2,5642432,-1.4,6562.16944158081
"7060","gardnji01",1898,556,2.45,754308,17.15,6559.65431916864
"7061","almoned01",2003,34,-0.58,14487586,-4.06,6557.43193084101
"7062","harrebi02",1968,101,-0.84,6992472,-5.88,6556.12884310798
"7063","diazda01",2016,20,-0.41,16783888,-2.87,6554.49041144277
"7064","carpele01",1943,10,0.32,2644114.28571429,2.24,6549.68724758069
"7065","raethha01",1957,6,-0.04,4370750,-0.28,6548.71848364836
"7066","hamnera01",1948,335,0.52,2664566.66666667,3.64,6548.00401360589
"7067","campbji03",1990,29,-0.28,10170000,-1.96,6547.70351138348
"7068","wheelri01",1924,304,0.75,1977112,5.25,6546.79738580077
"7069","chaplti01",1931,127,0.57,2329512,3.99,6546.64028618722
"7070","jorgefe01",2017,23,-0.34,17011002,-2.38,6544.44032534048
"7071","vininke01",2001,20,-0.55,14229514,-3.85,6543.46309158864
"7072","jimenge01",1988,167,-0.64,10432316,-4.48,6534.74672335587
"7073","mouldgl01",1947,219,0.68,2430400,4.76,6534.72982596265
"7074","vancejo01",1937,45,0.5,2627148,3.5,6531.19920172769
"7075","jeffcge01",1936,287,0.34,2576332,2.38,6528.80083835012
"7076","townsle01",1920,73,1.04,1786000,7.28,6528.09288556531
"7077","ahearpa01",1995,30,-0.43,12306950,-3.01,6524.662626542
"7078","solisma01",1958,156,-1.15,6363700,-8.05,6522.56699527133
"7079","tankede01",2004,105,-0.52,14609344,-3.64,6522.02908599293
"7080","sanchal02",1989,35,-0.58,10263495,-4.06,6517.54563200796
"7081","sandero01",1918,475,1.18,1682260,8.26,6517.20344183099
"7082","trautjo01",1988,48,-0.61,10352680,-4.27,6516.63472981212
"7083","sanchan03",2017,37,-0.34,17011002,-2.38,6515.90349003151
"7084","taylosc02",1995,46,-0.4,12306950,-2.8,6512.99964914597
"7085","epperal01",1938,81,0.35,2678448,2.45,6509.87069431325
"7086","mckiran01",2015,82,-0.38,16548050,-2.66,6508.66259089405
"7087","bouldca01",1961,10,-0.18,5138928,-1.26,6506.99491060083
"7088","hawkebi01",1893,691,1.83,689073,12.81,6506.57510988792
"7089","joinero01",1940,159,0.41,2782500,2.87,6505.70571174669
"7090","kurtzha01",1968,114,-0.86,6992472,-6.02,6504.80634912522
"7091","rohrbi01",1968,55,-0.84,6992472,-5.88,6503.57752930365
"7092","zickbo01",1954,49,-0.39,4872233.33333333,-2.73,6496.32047145334
"7093","nesbian01",2015,65,-0.4,16548050,-2.8,6495.9930910613
"7094","smythha01",1929,206,0.65,2229367,4.55,6493.95927995153
"7095","clarkta01",2019,254,-0.26,17439058,-1.82,6489.30032375248
"7096","gregopa01",1932,353,0.55,2377908,3.85,6489.22277897789
"7097","stinele01",1938,26,0.35,2678448,2.45,6489.02749706257
"7098","overtdi01",2017,69,-0.37,17011002,-2.59,6488.77937427142
"7099","beverja01",2002,59,-0.6,14360976,-4.2,6487.93608445047
"7100","stoveha01",1880,18,-0.03,528000,-0.21,6482.91939563636
"7101","froatbi01",1955,6,0.07,3931888.88888889,0.49,6482.59654560959
"7102","curtive01",1944,29,0.22,2593814.28571429,1.54,6479.50924780083
"7103","burkael01",1936,23,0.32,2576332,2.24,6478.93268629173
"7104","murphjr01",2019,9,-0.26,17439058,-1.82,6478.8372013329
"7105","salveja01",1934,115,0.43,2476152,3.01,6477.71573273702
"7106","ferguge01",1908,624,2.17,1177488,15.19,6476.02206009154
"7107","daniech02",1957,7,-0.06,4370750,-0.42,6471.35982818718
"7108","denneky01",2004,48,-0.56,14609344,-3.92,6470.91049695707
"7109","webbre01",1949,134,0.25,2903600,1.75,6469.58382202501
"7110","puentmi01",1970,56,-0.62,8613000,-4.34,6468.33973630302
"7111","nomurta01",2002,41,-0.6,14360976,-4.2,6463.7843765103
"7112","valdece01",2010,60,-0.68,15238000,-4.76,6463.54295902442
"7113","permele01",1942,39,0.43,2692328.57142857,3.01,6462.91848622513
"7114","pfeffbi01",1906,907,2.33,1074852,16.31,6462.31744164855
"7115","trimbjo01",1955,6,0.07,3931888.88888889,0.49,6462.29912126509
"7116","halljo03",2003,74,-0.64,14487586,-4.48,6461.78317181451
